마사, 91, 195
다다, 62, 197
마타, 44, 166
자아, 98, 154
자사, 81, 141
라파, 83, 177
다사, 60, 162
파바, 70, 162
타하, 45, 150
다바, 98, 149
사라, 58, 159
마다, 62, 155
가가, 91, 161
나카, 91, 147
타사, 63, 147
다카, 89, 185
파사, 42, 159
나차, 57, 164
다카, 56, 185
가마, 58, 190
아가, 64, 163
가카, 97, 145
타하, 76, 146
차다, 57, 176
사타, 51, 174
자사, 48, 156
자차, 58, 176
하하, 82, 172
라가, 91, 152
나자, 71, 198
차자, 79, 151
나사, 44, 161
파타, 41, 198
자사, 67, 176
카파, 94, 164
다자, 95, 152
마차, 80, 195
마라, 86, 187
가파, 55, 155
카하, 74, 140
다라, 92, 146
아타, 61, 158
아하, 92, 176
사하, 82, 168
차마, 83, 179
나가, 98, 169
하다, 64, 152
아라, 78, 146
마자, 94, 189
바바, 62, 186
바마, 68, 142
하차, 61, 156
다자, 47, 198
카하, 61, 152
가자, 79, 174
다차, 48, 180
카하, 96, 143
사카, 58, 156
사가, 46, 173
타아, 72, 140
자가, 83, 177
마파, 52, 154
파다, 62, 165
하자, 94, 146
타파, 45, 160
카가, 43, 197
하마, 62, 181
차나, 98, 197
카파, 60, 192
사타, 71, 159
다다, 55, 180
사나, 57, 176
파나, 56, 171
가마, 46, 195
차마, 62, 144
타라, 62, 142
파나, 66, 196
하차, 72, 169
카나, 59, 150
차타, 82, 194
바다, 77, 168
카하, 68, 141
파나, 41, 143
가다, 46, 176
카가, 64, 164
라카, 46, 185
사마, 52, 195
다파, 72, 145
가라, 50, 187
다마, 67, 183
차하, 72, 154
파나, 92, 169
라사, 80, 165
바바, 46, 172
카라, 63, 141
나파, 46, 143
타파, 45, 142
바타, 45, 193
라가, 68, 165
나카, 43, 167
라가, 85, 183
마차, 49, 151
자다, 90, 199
자사, 88, 197
다파, 43, 180
바가, 51, 149
마바, 44, 199
라나, 75, 194
타타, 53, 148
자다, 48, 165
바타, 96, 171
타가, 43, 155
나파, 63, 185
나나, 85, 143
하마, 56, 164
차라, 58, 175
사가, 61, 169
카하, 49, 142
자다, 52, 145
다나, 91, 195
라마, 96, 141
파사, 57, 180
아바, 50, 142
파바, 78, 147
아하, 70, 179
라자, 75, 183
아마, 53, 188
마타, 74, 152
라사, 95, 174
다파, 88, 159
자파, 99, 184
사가, 89, 149
사사, 95, 169
파자, 42, 173
아아, 64, 157
바마, 67, 177
차다, 59, 151
차가, 95, 191
라사, 97, 187
사타, 75, 184
차바, 74, 174
파자, 89, 189
차자, 73, 179
다라, 54, 189
나마, 45, 146
사가, 45, 152
사다, 85, 176
가하, 76, 157
차마, 90, 150
사차, 52, 148
바타, 93, 164
카사, 48, 195
나파, 82, 162
차차, 83, 189
자차, 77, 170
자차, 62, 172
파마, 88, 174
바바, 65, 143
타차, 98, 182
마마, 40, 190
카아, 84, 164
라파, 77, 153
파하, 98, 176
라자, 49, 199
파나, 95, 187
마바, 69, 179
나차, 61, 152
차파, 83, 199
자차, 61, 150
자마, 60, 164
카타, 51, 199
사바, 77, 176
아가, 47, 195
가라, 99, 140
하가, 48, 181
가바, 41, 149
파아, 56, 174
차라, 53, 178
바가, 40, 148
나다, 63, 194
카사, 91, 150
파자, 82, 170
바차, 85, 147
다카, 69, 175
하다, 64, 157
나다, 48, 154
자하, 81, 160
자사, 94, 183
라사, 99, 176
타나, 66, 197
아자, 86, 182
다나, 66, 159
타카, 41, 192
파아, 65, 198
타다, 64, 173
타나, 65, 193
차가, 93, 197
차아, 91, 164
마마, 87, 181
카사, 47, 185
사다, 61, 157
차사, 64, 196
차자, 57, 149
사가, 65, 161
사카, 93, 192
타마, 55, 177
